model,assignment,best_mixed_bleu,best_shared_bleu,delta_bleu,exceeds_best_shared
qwen2_5_1_5b,mixed24,6.695937223695845,6.725211317418214,-0.029274093722369443,0
llama_3_1_8b,mixed24,6.778149425287356,6.758838196286471,0.019311229000885,1
mistral_small_3_24b_awq,mixed24,7.500315207780726,7.314093280282935,0.18622192749779032,1
qwen2.5-32b-awq,mixed24,7.746452696728559,7.556580901856765,0.18987179487179429,1
