model,assignment,baseline_bleu,mixed_assignments,beat_self_report,beat_rate,max_gain_bleu,max_gain_relative
qwen2_5_1_5b,mixed24,6.367065870910698,24,22,0.9166666666666666,0.32887135278514634,0.05165194760865682
llama_3_1_8b,mixed24,5.839145004420867,24,21,0.875,0.9390044208664898,0.1608119716423486
mistral_small_3_24b_awq,mixed24,7.043840848806365,24,10,0.4166666666666667,0.4564743589743605,0.06480475194889074
qwen2.5-32b-awq,mixed24,7.6528788682581785,24,6,0.25,0.09357382847038043,0.012227271603434925
