model,assignment,baseline_bleu,configurations,beat_self_report,beat_rate,max_gain_bleu,max_gain_relative
qwen2_5_1_5b,shared54,6.367065870910698,54,35,0.6481481481481481,0.3581454465075158,0.056249684512261734
llama_3_1_8b,shared54,5.839145004420867,54,40,0.7407407407407407,0.9196931918656048,0.1575047701622921
mistral_small_3_24b_awq,shared54,7.043840848806365,54,8,0.14814814814814814,0.2702524314765702,0.03836719728305142
qwen2.5-32b-awq,shared54,7.6528788682581785,54,0,0.0,-0.09629796640141386,-0.012583234108255474
