model,assignment,configurations,worst_profile,worst_bleu,best_profile,best_bleu,range_bleu,range_relative_to_worst,baseline_bleu
qwen2_5_1_5b,shared54,54,fear-LHL,6.209966843501325,anger-HLL,6.725211317418214,0.5152444739168889,0.0829705676216432,6.367065870910698
llama_3_1_8b,shared54,54,neutral-LHH,5.685115826702034,disgust-LLL,6.758838196286471,1.0737223695844378,0.1888655222363886,5.839145004420867
mistral_small_3_24b_awq,shared54,54,fear-HHL,6.38377807250221,neutral-LLH,7.314093280282935,0.9303152077807253,0.14573113244459568,7.043840848806365
qwen2.5-32b-awq,shared54,54,happiness-HLH,6.619916445623343,neutral-HLH,7.556580901856765,0.9366644562334221,0.1414918849697391,7.6528788682581785
