model,assignment,emotion,personality,bleu,baseline_bleu,delta_bleu,beat_self_report
mistral_small_3_24b_awq,shared54,neutral,HHL,6.980925729442971,7.043840848806365,-0.06291511936339411,0
mistral_small_3_24b_awq,shared54,neutral,LLL,6.976693633952254,7.043840848806365,-0.06714721485411079,0
mistral_small_3_24b_awq,shared54,anger,NNN,6.947628647214854,7.043840848806365,-0.096212201591511,0
mistral_small_3_24b_awq,shared54,sadness,HLL,6.940933244916003,7.043840848806365,-0.1029076038903618,0
mistral_small_3_24b_awq,shared54,anger,HHL,6.936481432360742,7.043840848806365,-0.10735941644562264,0
mistral_small_3_24b_awq,shared54,happiness,HLL,6.932053934571176,7.043840848806365,-0.11178691423518927,0
mistral_small_3_24b_awq,shared54,anger,HLH,6.931494694960212,7.043840848806365,-0.11234615384615321,0
mistral_small_3_24b_awq,shared54,sadness,LLH,6.930002652519893,7.043840848806365,-0.11383819628647185,0
mistral_small_3_24b_awq,shared54,happiness,LLH,6.918883731211317,7.043840848806365,-0.12495711759504768,0
mistral_small_3_24b_awq,shared54,disgust,LHL,6.903030061892131,7.043840848806365,-0.14081078691423432,0
mistral_small_3_24b_awq,shared54,happiness,NNN,6.9010097259062775,7.043840848806365,-0.1428311229000876,0
mistral_small_3_24b_awq,shared54,anger,LHL,6.8921392572944296,7.043840848806365,-0.15170159151193552,0
mistral_small_3_24b_awq,shared54,sadness,LHH,6.8904261715296204,7.043840848806365,-0.15341467727674463,0
mistral_small_3_24b_awq,shared54,disgust,HLL,6.886320512820513,7.043840848806365,-0.15752033598585236,0
mistral_small_3_24b_awq,shared54,sadness,NNN,6.880648541114058,7.043840848806365,-0.16319230769230675,0
mistral_small_3_24b_awq,shared54,fear,LHL,6.875490716180371,7.043840848806365,-0.16835013262599396,0
mistral_small_3_24b_awq,shared54,disgust,HHL,6.872523430592396,7.043840848806365,-0.1713174182139694,0
mistral_small_3_24b_awq,shared54,neutral,LHH,6.864337312113174,7.043840848806365,-0.17950353669319075,0
mistral_small_3_24b_awq,shared54,fear,LLH,6.859136162687887,7.043840848806365,-0.18470468611847846,0
mistral_small_3_24b_awq,shared54,disgust,LHH,6.855534482758621,7.043840848806365,-0.18830636604774398,0
mistral_small_3_24b_awq,shared54,neutral,HLL,6.835628205128206,7.043840848806365,-0.20821264367815928,0
mistral_small_3_24b_awq,shared54,anger,LLL,6.834518125552608,7.043840848806365,-0.20932272325375667,0
mistral_small_3_24b_awq,shared54,disgust,HHH,6.833879310344828,7.043840848806365,-0.20996153846153742,0
mistral_small_3_24b_awq,shared54,fear,LLL,6.804657382847038,7.043840848806365,-0.23918346595932682,0
mistral_small_3_24b_awq,shared54,happiness,HHL,6.800039787798408,7.043840848806365,-0.2438010610079573,0
mistral_small_3_24b_awq,shared54,neutral,LHL,6.796976127320955,7.043840848806365,-0.2468647214854105,0
mistral_small_3_24b_awq,shared54,happiness,LHL,6.79217816091954,7.043840848806365,-0.25166268788682533,0
mistral_small_3_24b_awq,shared54,sadness,HHL,6.785762157382847,7.043840848806365,-0.2580786914235178,0
mistral_small_3_24b_awq,shared54,happiness,HHH,6.745777188328912,7.043840848806365,-0.29806366047745314,0
mistral_small_3_24b_awq,shared54,anger,HHH,6.743942970822281,7.043840848806365,-0.2998978779840842,0
mistral_small_3_24b_awq,shared54,happiness,LHH,6.742301945181255,7.043840848806365,-0.3015389036251097,0
mistral_small_3_24b_awq,shared54,sadness,HLH,6.709571175950486,7.043840848806365,-0.3342696728558794,0
mistral_small_3_24b_awq,shared54,neutral,NNN,6.703847038019452,7.043840848806365,-0.33999381078691293,0
mistral_small_3_24b_awq,shared54,fear,NNN,6.689762599469496,7.043840848806365,-0.3540782493368688,0
mistral_small_3_24b_awq,shared54,fear,LHH,6.684747126436782,7.043840848806365,-0.35909372236958337,0
mistral_small_3_24b_awq,shared54,disgust,LLL,6.667980106100796,7.043840848806365,-0.37586074270556935,0
mistral_small_3_24b_awq,shared54,happiness,HLH,6.666192749778957,7.043840848806365,-0.37764809902740826,0
mistral_small_3_24b_awq,shared54,sadness,HHH,6.650317860300619,7.043840848806365,-0.39352298850574563,0
mistral_small_3_24b_awq,shared54,happiness,LLL,6.64659991158267,7.043840848806365,-0.39724093722369513,0
mistral_small_3_24b_awq,shared54,sadness,LHL,6.586448275862069,7.043840848806365,-0.457392572944296,0
mistral_small_3_24b_awq,shared54,anger,HLL,6.561259062776305,7.043840848806365,-0.4825817860300603,0
mistral_small_3_24b_awq,shared54,fear,HLL,6.554218390804598,7.043840848806365,-0.48962245800176696,0
mistral_small_3_24b_awq,shared54,fear,HHH,6.511906277630415,7.043840848806365,-0.5319345711759498,0
mistral_small_3_24b_awq,shared54,fear,HLH,6.487739610963749,7.043840848806365,-0.5561012378426158,0
mistral_small_3_24b_awq,shared54,fear,HHL,6.38377807250221,7.043840848806365,-0.6600627763041551,0
qwen2.5-32b-awq,shared54,neutral,HLH,7.556580901856765,7.6528788682581785,-0.09629796640141386,0
qwen2.5-32b-awq,shared54,sadness,LHL,7.5424482758620695,7.6528788682581785,-0.11043059239610908,0
qwen2.5-32b-awq,shared54,fear,HLL,7.397131741821397,7.6528788682581785,-0.25574712643678144,0
qwen2.5-32b-awq,shared54,neutral,LLL,7.391296198054819,7.6528788682581785,-0.26158267020335924,0
qwen2.5-32b-awq,shared54,neutral,NNN,7.385731653404067,7.6528788682581785,-0.26714721485411186,0
qwen2.5-32b-awq,shared54,fear,LHH,7.36353006189213,7.6528788682581785,-0.2893488063660481,0
qwen2.5-32b-awq,shared54,anger,LLH,7.362053934571176,7.6528788682581785,-0.29082493368700213,0
qwen2.5-32b-awq,shared54,neutral,LHL,7.354717064544651,7.6528788682581785,-0.2981618037135272,0
qwen2.5-32b-awq,shared54,anger,NNN,7.342363837312113,7.6528788682581785,-0.3105150309460658,0
qwen2.5-32b-awq,shared54,fear,NNN,7.327076038903625,7.6528788682581785,-0.3258028293545534,0
qwen2.5-32b-awq,shared54,sadness,LLL,7.313970822281168,7.6528788682581785,-0.33890804597701063,0
qwen2.5-32b-awq,shared54,happiness,LLH,7.289469053934571,7.6528788682581785,-0.3634098143236075,0
qwen2.5-32b-awq,shared54,disgust,LLL,7.2766905393457115,7.6528788682581785,-0.376188328912467,0
qwen2.5-32b-awq,shared54,sadness,HHL,7.2704783377541995,7.6528788682581785,-0.38240053050397904,0
qwen2.5-32b-awq,shared54,anger,LHL,7.2224787798408485,7.6528788682581785,-0.43040008841733,0
qwen2.5-32b-awq,shared54,happiness,LLL,7.200637488947834,7.6528788682581785,-0.4522413793103448,0
qwen2.5-32b-awq,shared54,disgust,HLH,7.199499115826701,7.6528788682581785,-0.4533797524314771,0
qwen2.5-32b-awq,shared54,neutral,LHH,7.192499115826703,7.6528788682581785,-0.4603797524314759,0
qwen2.5-32b-awq,shared54,disgust,LLH,7.185990716180371,7.6528788682581785,-0.4668881520778072,0
qwen2.5-32b-awq,shared54,disgust,LHL,7.169667108753316,7.6528788682581785,-0.4832117595048624,0
qwen2.5-32b-awq,shared54,happiness,HHL,7.154859858532273,7.6528788682581785,-0.4980190097259056,0
qwen2.5-32b-awq,shared54,sadness,HLH,7.133294429708223,7.6528788682581785,-0.5195844385499555,0
qwen2.5-32b-awq,shared54,anger,HHL,7.125816976127321,7.6528788682581785,-0.5270618921308579,0
qwen2.5-32b-awq,shared54,anger,LLL,7.122564544650751,7.6528788682581785,-0.5303143236074277,0
qwen2.5-32b-awq,shared54,happiness,LHL,7.112998673740053,7.6528788682581785,-0.5398801945181253,0
qwen2.5-32b-awq,shared54,happiness,HHH,7.098936339522546,7.6528788682581785,-0.5539425287356323,0
qwen2.5-32b-awq,shared54,fear,HLH,7.078758178603006,7.6528788682581785,-0.5741206896551727,0
qwen2.5-32b-awq,shared54,neutral,HLL,7.061614058355438,7.6528788682581785,-0.5912648099027402,0
qwen2.5-32b-awq,shared54,neutral,LLH,7.05690008841733,7.6528788682581785,-0.5959787798408485,0
qwen2.5-32b-awq,shared54,happiness,NNN,7.037312113174182,7.6528788682581785,-0.6155667550839965,0
qwen2.5-32b-awq,shared54,happiness,HLL,7.028397435897436,7.6528788682581785,-0.6244814323607422,0
qwen2.5-32b-awq,shared54,happiness,LHH,6.995014146772768,7.6528788682581785,-0.657864721485411,0
qwen2.5-32b-awq,shared54,anger,HLH,6.9777793987621575,7.6528788682581785,-0.6750994694960211,0
qwen2.5-32b-awq,shared54,anger,LHH,6.962589743589743,7.6528788682581785,-0.6902891246684355,0
qwen2.5-32b-awq,shared54,disgust,HLL,6.949258178603006,7.6528788682581785,-0.7036206896551729,0
qwen2.5-32b-awq,shared54,fear,HHH,6.945299734748011,7.6528788682581785,-0.7075791335101673,0
qwen2.5-32b-awq,shared54,disgust,LHH,6.942524314765693,7.6528788682581785,-0.7103545534924853,0
qwen2.5-32b-awq,shared54,sadness,LLH,6.93993899204244,7.6528788682581785,-0.7129398762157386,0
qwen2.5-32b-awq,shared54,sadness,HLL,6.913547745358089,7.6528788682581785,-0.7393311229000892,0
qwen2.5-32b-awq,shared54,fear,LLH,6.8689173297966395,7.6528788682581785,-0.783961538461539,0
qwen2.5-32b-awq,shared54,disgust,HHL,6.8680066312997345,7.6528788682581785,-0.784872236958444,0
qwen2.5-32b-awq,shared54,fear,LLL,6.86343943412909,7.6528788682581785,-0.7894394341290889,0
qwen2.5-32b-awq,shared54,fear,LHL,6.863127763041556,7.6528788682581785,-0.7897511052166228,0
qwen2.5-32b-awq,shared54,fear,HHL,6.855482758620689,7.6528788682581785,-0.7973961096374893,0
qwen2.5-32b-awq,shared54,disgust,HHH,6.836359416445623,7.6528788682581785,-0.8165194518125558,0
qwen2.5-32b-awq,shared54,anger,HLL,6.789361626878868,7.6528788682581785,-0.8635172413793102,0
qwen2.5-32b-awq,shared54,sadness,HHH,6.781334217506632,7.6528788682581785,-0.871544650751547,0
qwen2.5-32b-awq,shared54,anger,HHH,6.777995579133511,7.6528788682581785,-0.8748832891246678,0
qwen2.5-32b-awq,shared54,sadness,NNN,6.661123784261716,7.6528788682581785,-0.9917550839964626,0
qwen2.5-32b-awq,shared54,neutral,HHL,6.660999557913351,7.6528788682581785,-0.9918793103448271,0
qwen2.5-32b-awq,shared54,sadness,LHH,6.647150751547303,7.6528788682581785,-1.0057281167108751,0
qwen2.5-32b-awq,shared54,disgust,NNN,6.643079133510168,7.6528788682581785,-1.00979973474801,0
qwen2.5-32b-awq,shared54,neutral,HHH,6.63649557913351,7.6528788682581785,-1.0163832891246685,0
qwen2.5-32b-awq,shared54,happiness,HLH,6.619916445623343,7.6528788682581785,-1.032962422634836,0
qwen2_5_1_5b,shared54,anger,HLL,6.725211317418214,6.367065870910698,0.3581454465075158,1
qwen2_5_1_5b,shared54,neutral,HLL,6.695420866489831,6.367065870910698,0.32835499557913295,1
qwen2_5_1_5b,shared54,happiness,HLL,6.688998673740053,6.367065870910698,0.32193280282935444,1
qwen2_5_1_5b,shared54,sadness,LLH,6.609105658709106,6.367065870910698,0.24203978779840796,1
qwen2_5_1_5b,shared54,disgust,NNN,6.605201149425287,6.367065870910698,0.23813527851458893,1
qwen2_5_1_5b,shared54,happiness,HHL,6.601333775419982,6.367065870910698,0.23426790450928348,1
qwen2_5_1_5b,shared54,fear,HLH,6.596851016799293,6.367065870910698,0.22978514588859422,1
qwen2_5_1_5b,shared54,anger,HHL,6.594084438549955,6.367065870910698,0.22701856763925665,1
qwen2_5_1_5b,shared54,happiness,LLH,6.582637488947834,6.367065870910698,0.21557161803713587,1
qwen2_5_1_5b,shared54,anger,LHH,6.579104332449161,6.367065870910698,0.2120384615384623,1
qwen2_5_1_5b,shared54,happiness,HLH,6.577900972590628,6.367065870910698,0.2108351016799297,1
qwen2_5_1_5b,shared54,anger,LLH,6.574843943412909,6.367065870910698,0.2077780725022107,1
qwen2_5_1_5b,shared54,disgust,LLH,6.574172413793104,6.367065870910698,0.20710654288240526,1
qwen2_5_1_5b,shared54,happiness,LHL,6.5572656940760385,6.367065870910698,0.19019982316534012,1
qwen2_5_1_5b,shared54,sadness,HLH,6.5496127320954916,6.367065870910698,0.18254686118479313,1
qwen2_5_1_5b,shared54,fear,HLL,6.546402740937224,6.367065870910698,0.17933687002652565,1
qwen2_5_1_5b,shared54,happiness,LLL,6.5459487179487175,6.367065870910698,0.17888284703801904,1
qwen2_5_1_5b,shared54,sadness,HHL,6.544979664014146,6.367065870910698,0.17791379310344801,1
qwen2_5_1_5b,shared54,disgust,HHL,6.543978779840849,6.367065870910698,0.17691290893015044,1
qwen2_5_1_5b,shared54,neutral,HHL,6.538682581786031,6.367065870910698,0.17161671087533215,1
qwen2_5_1_5b,shared54,neutral,HHH,6.52979575596817,6.367065870910698,0.16272988505747144,1
qwen2_5_1_5b,shared54,anger,LHL,6.515763041556145,6.367065870910698,0.14869717064544652,1
qwen2_5_1_5b,shared54,disgust,HHH,6.509995137046861,6.367065870910698,0.14292926613616252,1
qwen2_5_1_5b,shared54,anger,NNN,6.506657382847038,6.367065870910698,0.13959151193633978,1
qwen2_5_1_5b,shared54,neutral,LLH,6.500432360742706,6.367065870910698,0.1333664898320075,1
qwen2_5_1_5b,shared54,fear,NNN,6.487897877984085,6.367065870910698,0.12083200707338637,1
qwen2_5_1_5b,shared54,disgust,LHL,6.449797966401415,6.367065870910698,0.0827320954907167,1
qwen2_5_1_5b,shared54,neutral,LHH,6.439655614500442,6.367065870910698,0.07258974358974335,1
qwen2_5_1_5b,shared54,neutral,LLL,6.427503536693192,6.367065870910698,0.06043766578249343,1
qwen2_5_1_5b,shared54,disgust,HLL,6.417194960212201,6.367065870910698,0.05012908930150228,1
qwen2_5_1_5b,shared54,anger,HLH,6.407593280282935,6.367065870910698,0.040527409372236534,1
qwen2_5_1_5b,shared54,sadness,NNN,6.399996463306808,6.367065870910698,0.032930592396109404,1
qwen2_5_1_5b,shared54,disgust,HLH,6.376806366047745,6.367065870910698,0.009740495137046778,1
qwen2_5_1_5b,shared54,sadness,HLL,6.370836870026525,6.367065870910698,0.0037709991158267897,1
qwen2_5_1_5b,shared54,neutral,LHL,6.370653404067197,6.367065870910698,0.0035875331564989565,1
qwen2_5_1_5b,shared54,neutral,NNN,6.367065870910698,6.367065870910698,0.0,0
qwen2_5_1_5b,shared54,fear,LLH,6.364557471264368,6.367065870910698,-0.002508399646329984,0
qwen2_5_1_5b,shared54,happiness,LHH,6.363224137931034,6.367065870910698,-0.0038417329796640587,0
qwen2_5_1_5b,shared54,sadness,LHL,6.3518050397877985,6.367065870910698,-0.015260831122899887,0
qwen2_5_1_5b,shared54,disgust,LLL,6.343251989389921,6.367065870910698,-0.02381388152077779,0
qwen2_5_1_5b,shared54,fear,HHH,6.337099027409372,6.367065870910698,-0.0299668435013265,0
qwen2_5_1_5b,shared54,neutral,HLH,6.330705570291777,6.367065870910698,-0.03636030061892104,0
qwen2_5_1_5b,shared54,fear,HHL,6.322722811671087,6.367065870910698,-0.044343059239611016,0
qwen2_5_1_5b,shared54,anger,LLL,6.320324933687002,6.367065870910698,-0.046740937223696655,0
qwen2_5_1_5b,shared54,sadness,LHH,6.28951282051282,6.367065870910698,-0.07755305039787874,0
qwen2_5_1_5b,shared54,disgust,LHH,6.28436118479222,6.367065870910698,-0.08270468611847814,0
qwen2_5_1_5b,shared54,happiness,NNN,6.262961980548187,6.367065870910698,-0.10410389036251111,0
qwen2_5_1_5b,shared54,sadness,LLL,6.259544208664899,6.367065870910698,-0.10752166224579973,0
qwen2_5_1_5b,shared54,happiness,HHH,6.2578589743589745,6.367065870910698,-0.10920689655172389,0
qwen2_5_1_5b,shared54,anger,HHH,6.249465959328028,6.367065870910698,-0.11759991158267002,0
qwen2_5_1_5b,shared54,sadness,HHH,6.247175066312997,6.367065870910698,-0.11989080459770118,0
qwen2_5_1_5b,shared54,fear,LHH,6.246435455349248,6.367065870910698,-0.12063041556145038,0
qwen2_5_1_5b,shared54,fear,LLL,6.214449160035366,6.367065870910698,-0.15261671087533202,0
qwen2_5_1_5b,shared54,fear,LHL,6.209966843501325,6.367065870910698,-0.1570990274093731,0
