model,assignment,instances,calls,prompt_tokens,completion_tokens,total_tokens,calls_per_instance,prompt_tokens_per_instance,completion_tokens_per_instance,total_tokens_per_instance,prompt_tokens_per_call,completion_tokens_per_call,total_tokens_per_call
qwen2_5_1_5b,shared54,20358,174512,350750873,38572933,389323806,8.572158365261814,17229.142008055802,1894.7309657137243,19123.872973769525,2009.8954398551389,221.03312666177683,2230.928566516916
llama_3_1_8b,shared54,20358,226895,536714236,77989317,614703553,11.145250024560369,26363.799783868748,3830.8928676687297,30194.69265153748,2365.47405628154,343.72426452764495,2709.1983208091847
mistral_small_3_24b_awq,shared54,20358,175638,431108647,45216618,476325265,8.627468317123489,21176.37523332351,2221.073681108164,23397.448914431672,2454.5294697047334,257.44211389334885,2711.9715835980824
qwen2.5-32b-awq,shared54,20358,125193,275671032,25660115,301331147,6.14957264957265,13541.164750957854,1260.4438058748403,14801.608556832694,2201.9684167645155,204.9644548816627,2406.9328716461782
overall,shared54,81432,702238,1594244788,187438983,1781683771,8.623612339129581,19577.620444051478,2301.7853300913644,21879.405774142844,2270.2342909383997,266.9166051965288,2537.1508961349286
