model,assignment,emotion,personality,bleu
mistral_small_3_24b_awq,shared54,sadness,HHL,6.785762157382847
mistral_small_3_24b_awq,shared54,sadness,HLH,6.709571175950486
mistral_small_3_24b_awq,shared54,sadness,HLL,6.940933244916003
mistral_small_3_24b_awq,shared54,sadness,LHH,6.8904261715296204
mistral_small_3_24b_awq,shared54,sadness,LHL,6.586448275862069
mistral_small_3_24b_awq,shared54,sadness,LLH,6.930002652519893
mistral_small_3_24b_awq,shared54,sadness,LLL,7.27717860300619
mistral_small_3_24b_awq,shared54,sadness,NNN,6.880648541114058
qwen2.5-32b-awq,shared54,anger,HHH,6.777995579133511
qwen2.5-32b-awq,shared54,anger,HHL,7.125816976127321
qwen2.5-32b-awq,shared54,anger,HLH,6.9777793987621575
qwen2.5-32b-awq,shared54,anger,HLL,6.789361626878868
qwen2.5-32b-awq,shared54,anger,LHH,6.962589743589743
qwen2.5-32b-awq,shared54,anger,LHL,7.2224787798408485
qwen2.5-32b-awq,shared54,anger,LLH,7.362053934571176
qwen2.5-32b-awq,shared54,anger,LLL,7.122564544650751
qwen2.5-32b-awq,shared54,anger,NNN,7.342363837312113
qwen2.5-32b-awq,shared54,disgust,HHH,6.836359416445623
qwen2.5-32b-awq,shared54,disgust,HHL,6.8680066312997345
qwen2.5-32b-awq,shared54,disgust,HLH,7.199499115826701
qwen2.5-32b-awq,shared54,disgust,HLL,6.949258178603006
qwen2.5-32b-awq,shared54,disgust,LHH,6.942524314765693
qwen2.5-32b-awq,shared54,disgust,LHL,7.169667108753316
qwen2.5-32b-awq,shared54,disgust,LLH,7.185990716180371
qwen2.5-32b-awq,shared54,disgust,LLL,7.2766905393457115
qwen2.5-32b-awq,shared54,disgust,NNN,6.643079133510168
qwen2.5-32b-awq,shared54,fear,HHH,6.945299734748011
qwen2.5-32b-awq,shared54,fear,HHL,6.855482758620689
qwen2.5-32b-awq,shared54,fear,HLH,7.078758178603006
qwen2.5-32b-awq,shared54,fear,HLL,7.397131741821397
qwen2.5-32b-awq,shared54,fear,LHH,7.36353006189213
qwen2.5-32b-awq,shared54,fear,LHL,6.863127763041556
qwen2.5-32b-awq,shared54,fear,LLH,6.8689173297966395
qwen2.5-32b-awq,shared54,fear,LLL,6.86343943412909
qwen2.5-32b-awq,shared54,fear,NNN,7.327076038903625
qwen2.5-32b-awq,shared54,happiness,HHH,7.098936339522546
qwen2.5-32b-awq,shared54,happiness,HHL,7.154859858532273
qwen2.5-32b-awq,shared54,happiness,HLH,6.619916445623343
qwen2.5-32b-awq,shared54,happiness,HLL,7.028397435897436
qwen2.5-32b-awq,shared54,happiness,LHH,6.995014146772768
qwen2.5-32b-awq,shared54,happiness,LHL,7.112998673740053
qwen2.5-32b-awq,shared54,happiness,LLH,7.289469053934571
qwen2.5-32b-awq,shared54,happiness,LLL,7.200637488947834
qwen2.5-32b-awq,shared54,happiness,NNN,7.037312113174182
qwen2.5-32b-awq,shared54,neutral,HHH,6.63649557913351
qwen2.5-32b-awq,shared54,neutral,HHL,6.660999557913351
qwen2.5-32b-awq,shared54,neutral,HLH,7.556580901856765
qwen2.5-32b-awq,shared54,neutral,HLL,7.061614058355438
qwen2.5-32b-awq,shared54,neutral,LHH,7.192499115826703
qwen2.5-32b-awq,shared54,neutral,LHL,7.354717064544651
qwen2.5-32b-awq,shared54,neutral,LLH,7.05690008841733
qwen2.5-32b-awq,shared54,neutral,LLL,7.391296198054819
