model,assignment,baseline_passed,baseline_evaluated,baseline_pass_at_1,configurations,beat_self_report,beat_rate,max_gain_passed,max_gain_relative,max_gain_pass_at_1
qwen2_5_1_5b,shared54,21,282,0.07446808510638298,54,38,0.7037037037037037,11,0.5238095238095238,0.03900709219858156
llama_3_1_8b,shared54,49,282,0.17375886524822695,54,4,0.07407407407407407,7,0.14285714285714285,0.024822695035461
mistral_small_3_24b_awq,shared54,89,282,0.31560283687943264,54,10,0.18518518518518517,12,0.1348314606741573,0.04255319148936171
qwen2.5-32b-awq,shared54,122,282,0.4326241134751773,54,1,0.018518518518518517,2,0.01639344262295082,0.007092198581560294
