model,assignment,best_mixed_passed,best_mixed_pass_at_1,best_shared_passed,best_shared_pass_at_1,delta_passed,delta_pass_at_1,exceeds_best_shared
qwen2_5_1_5b,mixed24,31,0.1099290780141844,32,0.11347517730496454,-1,-0.003546099290780133,0
llama_3_1_8b,mixed24,57,0.20212765957446807,56,0.19858156028368795,1,0.003546099290780119,1
mistral_small_3_24b_awq,mixed24,104,0.36879432624113473,101,0.35815602836879434,3,0.010638297872340385,1
qwen2.5-32b-awq,mixed24,127,0.450354609929078,124,0.4397163120567376,3,0.010638297872340385,1
