model,assignment,instances,calls,prompt_tokens,completion_tokens,total_tokens,calls_per_instance,prompt_tokens_per_instance,completion_tokens_per_instance,total_tokens_per_instance,prompt_tokens_per_call,completion_tokens_per_call,total_tokens_per_call
qwen2_5_1_5b,shared54,15228,68385,132900141,33355083,166255224,4.4907407407407405,8727.353624901498,2190.3784475965326,10917.732072498029,1943.4107041017767,487.7543759596403,2431.165080061417
llama_3_1_8b,shared54,15228,110855,210807499,51490827,262298326,7.279682164433938,13843.413383241397,3381.325650118203,17224.7390333596,1901.6507960849758,464.48808804293895,2366.138884127915
mistral_small_3_24b_awq,shared54,15228,98416,187726837,41214460,228941297,6.462831625952194,12327.740806409247,2706.491988442343,15034.232794851589,1907.482899122094,418.77804422045193,2326.260943342546
qwen2.5-32b-awq,shared54,15228,90429,170034791,40021377,210056168,5.938337273443657,11165.930588389809,2628.1440110323088,13794.074599422118,1880.3126320096428,442.5723716949209,2322.8850037045636
overall,shared54,60912,368085,701469268,166081747,867551015,6.042897951142632,11516.109600735488,2726.585024297347,14242.694625032835,1905.72630778217,451.2048765910048,2356.931184373175
