analysis_scope,result_type,effect,comparison,reference,chi_square,df,log_odds_estimate,std_error,z_value,odds_ratio,p_value,q_value_bh,bh_family,note
Model: Mistral 24B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,1.73606397514622,0.0643142351447245,26.9934637524586,5.67496261196759,1.7635315586045e-160,1.4108252468836e-159,planned_contrasts,
Model: Mistral 24B,Trait contrast,Openness,High vs low,Low,NA,NA,0.135610990186321,0.060515182250848,2.24094161402647,1.1452362987709,0.0250298572210011,0.0286055511097155,planned_contrasts,
Model: Mistral 24B,Trait contrast,Extraversion,High vs low,Low,NA,NA,-0.0183298374198544,0.0604852437476747,-0.303046433876016,0.98183713231762,0.761854475239287,0.761854475239287,planned_contrasts,
Model: Qwen 32B,Main effect,Emotion,Overall effect,,562.960381349641,5,NA,NA,NA,NA,2.03027216388724e-119,8.12108865554896e-119,main_effects,
Model: Qwen 32B,Main effect,Conscientiousness,Overall effect,,46.9732812531884,1,NA,NA,NA,NA,7.19610723125467e-12,1.43922144625093e-11,main_effects,
Model: Qwen 32B,Main effect,Openness,Overall effect,,13.8745744770094,1,NA,NA,NA,NA,0.000195424430863032,0.000195424430863032,main_effects,
Model: Qwen 32B,Main effect,Extraversion,Overall effect,,13.8745745144588,1,NA,NA,NA,NA,0.000195424426968825,0.000195424430863032,main_effects,
Model: Qwen 32B,Emotion contrast,Emotion,Anger vs happiness,Happiness,NA,NA,0.988170567847324,0.138553392639111,7.13205609061629,2.68631554227148,9.88805605997237e-13,2.63681494932597e-12,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Disgust vs happiness,Happiness,NA,NA,0.75397428878868,0.142018456181111,5.30898806439046,2.12543032719237,1.10235551139868e-07,1.76376881823789e-07,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Fear vs happiness,Happiness,NA,NA,2.23489668650922,0.129539328276791,17.2526499576549,9.34551628440895,1.06882712910434e-66,8.55061703283475e-66,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Neutral vs happiness,Happiness,NA,NA,0.239431137917278,0.152632483045581,1.5686774737575,1.2705261905338,0.116723110027272,0.116723110027272,planned_contrasts,
Model: Qwen 32B,Emotion contrast,Emotion,Sadness vs happiness,Happiness,NA,NA,1.52691268135601,0.133017220334301,11.4790602112911,4.60394102542304,1.68097681884476e-30,6.72390727537906e-30,planned_contrasts,
Model: Qwen 32B,Trait contrast,Conscientiousness,High vs low,Low,NA,NA,0.449317846382871,0.0658608600352974,6.82222865207142,1.56724272047124,8.96388388737531e-12,1.79277677747506e-11,planned_contrasts,
Model: Qwen 32B,Trait contrast,Openness,High vs low,Low,NA,NA,0.243724729261265,0.0654319963326224,3.72485546707599,1.27599303859513,0.000195427158059682,0.000223345323496779,planned_contrasts,
Model: Qwen 32B,Trait contrast,Extraversion,High vs low,Low,NA,NA,0.243726455512043,0.0654319988520733,3.7248817060144,1.27599524128101,0.000195406832373006,0.000223345323496779,planned_contrasts,
