model,assignment,baseline_passed,baseline_evaluated,baseline_pass_at_1,mixed_assignments,beat_self_report,beat_rate,max_gain_passed,max_gain_relative,max_gain_pass_at_1
qwen2_5_1_5b,mixed24,21,282,0.07446808510638298,24,24,1.0,10,0.47619047619047616,0.03546099290780143
llama_3_1_8b,mixed24,49,282,0.17375886524822695,24,12,0.5,8,0.16326530612244897,0.02836879432624112
mistral_small_3_24b_awq,mixed24,89,282,0.31560283687943264,24,20,0.8333333333333334,15,0.16853932584269662,0.05319148936170209
qwen2.5-32b-awq,mixed24,122,282,0.4326241134751773,24,6,0.25,5,0.040983606557377046,0.01773049645390068
